WKT,id,type,form
"POLYGON ((16.369846551445402 48.194917974111391,16.369828939028181 48.194939382215885,16.369830416284081 48.194939730396705,16.369848007439611 48.194918352686472,16.369846551445402 48.194917974111391))",http://finder.tuwien.ac.at/spatial/accessunit/id/HEEGM1,http://finder.tuwien.ac.at/vocab/spatial#Entrance,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369919481426965 48.194942826845818,16.36993066469601 48.194946599076324,16.369931378375963 48.194945340793247,16.36992026798659 48.19494142470267,16.369919481426965 48.194942826845818))",http://finder.tuwien.ac.at/spatial/accessunit/id/HEEG14-15A,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369861842384406 48.194945909582756,16.369863810532923 48.194946359473278,16.369874841752296 48.194932762371479,16.369872963228509 48.194932233955896,16.369861842384406 48.194945909582756))",http://finder.tuwien.ac.at/spatial/accessunit/id/HEEG14V-14,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369943589536721 48.194974534490626,16.369945106366302 48.194975024482986,16.369956248533494 48.194961457250379,16.369954503724745 48.194960896392892,16.369943589536721 48.194974534490626))",http://finder.tuwien.ac.at/spatial/accessunit/id/HEEG14V-HHEG07,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369992092128111 48.195005124544906,16.370015857511394 48.195014398918858,16.370016793025595 48.195013061580148,16.369992863570975 48.195003902719776,16.369992092128111 48.195005124544906))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG07-08,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369926122426612 48.195042731814254,16.369933613298983 48.195033570835683,16.369931850301011 48.195033115334134,16.369924383762786 48.195042320879793,16.369926122426612 48.195042731814254))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG08-HEEG07,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369911028474039 48.195061610935802,16.369918537535636 48.195052344605521,16.369916807966423 48.195051880993596,16.369909274570677 48.195061102756952,16.369911028474039 48.195061610935802))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG08-HEEG04,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369852150373511 48.195025677375668,16.369853958967319 48.195026147050271,16.369861653484708 48.195017012366613,16.369859695936327 48.195016477889453,16.369852150373511 48.195025677375668))",http://finder.tuwien.ac.at/spatial/accessunit/id/HEEG04-07,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.36984527757614 48.195009831416883,16.369857251336676 48.19501421938871,16.369857879969885 48.195013082683531,16.369845936565646 48.195008611639956,16.36984527757614 48.195009831416883))",http://finder.tuwien.ac.at/spatial/accessunit/id/HEEG04-10,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369792023964159 48.19507375525184,16.369802273307045 48.195077414806569,16.369803184352019 48.195076084995712,16.369792929694373 48.195072295772974,16.369792023964159 48.19507375525184))",http://finder.tuwien.ac.at/spatial/accessunit/id/HEEG04-02,http://finder.tuwien.ac.at/vocab/spatial#Door,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369875873551084 48.195250493295937,16.369906437560719 48.195259072040429,16.369907736332376 48.195257133066896,16.369877139711047 48.195248518582019,16.369875873551084 48.195250493295937))",http://finder.tuwien.ac.at/spatial/accessunit/id/HHEG08-HAEGPARK,http://finder.tuwien.ac.at/vocab/spatial#Entrance,http://www.opengis.net/ont/sf#Polygon
