WKT,id,type,form
"POLYGON ((16.369848416394014 48.19491780384628,16.369829565572623 48.194940706869794,16.369859172609708 48.194950566674372,16.369877530901526 48.194927392677826,16.369848416394014 48.19491780384628))",http://finder.tuwien.ac.at/spatial/room/id/HHEG14V,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369859316464623 48.194950577710351,16.369940206315398 48.194979830432281,16.369959870152268 48.194956270787735,16.369877581407327 48.19492743784695,16.369859316464623 48.194950577710351))",http://finder.tuwien.ac.at/spatial/room/id/HEEG14,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370421089117126 48.19501213570031,16.370424331783802 48.195007030761623,16.37037410192805 48.194991585735806,16.370356552749474 48.194986518074295,16.370353866264924 48.194985699848395,16.370352760505288 48.194987461124249,16.370345738350807 48.194984823682653,16.370346300515617 48.194983044995183,16.370291859716136 48.194966324713377,16.370292219074049 48.19496572071931,16.370278722775243 48.19496731846742,16.370279164407165 48.194968221960728,16.370271017246736 48.194980121313122,16.370262913830899 48.194978343406632,16.37025666900167 48.194988173369623,16.370263608154339 48.194990785010781,16.370257175508012 48.195001280706684,16.37024747268552 48.194998466764865,16.370242463711701 48.195006710607061,16.370251481713371 48.195009185379767,16.370245452722383 48.195019158207458,16.370242834026367 48.195018369473388,16.370236935075283 48.195028391140781,16.370231553828358 48.195026802636953,16.370224244461042 48.195037775181753,16.370229542706163 48.195039337885021,16.370223533123244 48.195049409359079,16.370224338531358 48.195050316467508,16.370223586592459 48.195051463606944,16.370224488538039 48.195051727127101,16.370222968104571 48.195054117299122,16.370221985953705 48.195053896207597,16.370220374464068 48.195056813792206,16.370209761194673 48.19505327901355,16.370201623094285 48.195066898831371,16.370211613850081 48.195070240107505,16.370210093416617 48.195072630278645,16.370211056215293 48.195072879034441,16.370209334093829 48.195075846428729,16.370208238514607 48.195075606919211,16.370199070106359 48.195089580066615,16.370187085180994 48.195087067156159,16.370180135842062 48.19509895149325,16.370191473979052 48.195102677906057,16.370189765393242 48.195104975910859,16.370206786357873 48.195110401407405,16.370207648816862 48.195108951825674,16.370216895129388 48.195111623860399,16.370224557926335 48.1950991529825,16.370215748771589 48.195096650512554,16.370221756116717 48.195087773984021,16.370225145099592 48.195081990418544,16.370227478325056 48.195078438344773,16.370250871077065 48.195085878124019,16.370251305103089 48.195085221561627,16.370254832680125 48.195086318070175,16.370254448432842 48.195086939586083,16.370278662925141 48.195094685312625,16.370281164615527 48.19509049516995,16.370288192033687 48.19508001597174,16.370290655019694 48.195075881156598,16.370266894240821 48.195068209099517,16.370266202931532 48.195068836208101,16.370262550851773 48.195067700998862,16.370263004229987 48.195067016771866,16.370240278261065 48.195059788462139,16.370248194622135 48.195046756473168,16.370253160860013 48.195048215975291,16.37026400635569 48.195051418781823,16.370263143784953 48.195052615732003,16.370266734899868 48.195053513072665,16.370269794895506 48.195048199797718,16.370268389457745 48.195047897651698,16.370273467897722 48.195040349004948,16.37027411748263 48.195039203729408,16.370271505722059 48.195038459251194,16.370256899976063 48.195033481373699,16.370265422994194 48.195020755830299,16.370291448446803 48.194982468449041,16.370344636164752 48.194999354935455,16.370338565616986 48.195009188548255,16.370340430361242 48.195009700824734,16.3703396783106 48.195010595331695,16.370351799483501 48.195014683028738,16.370352407679235 48.195013777485883,16.370391172433994 48.195026147057554,16.370402969877475 48.195030083605793,16.370407263823015 48.195031384653191,16.370413816049481 48.195022307005999,16.370415559087544 48.195022848810893,16.370415133339357 48.195023457427453,16.370426410399766 48.195026693343408,16.370434079460225 48.195015874702825,16.370421089117126 48.19501213570031))",http://finder.tuwien.ac.at/spatial/room/id/HGEG08,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370159060733773 48.19503866022324,16.370158564679876 48.195039802702574,16.37014859372324 48.195037444293078,16.370148853467803 48.19503678407623,16.370129425450607 48.195030610365251,16.370128258279156 48.19503112323742,16.370120405436083 48.195026711996,16.370104469426227 48.195016268646746,16.370103916602282 48.195017275600819,16.370072741255569 48.195007888191462,16.37007168527467 48.195009614420016,16.370069759677317 48.195009116907812,16.370060222290938 48.195023834215611,16.370061135310873 48.195024118018168,16.370054102299676 48.195034460770039,16.370051631035839 48.195038643535149,16.370064418684539 48.195042247960899,16.370067216697805 48.195038789838982,16.370075350763685 48.195041065627734,16.370070232390141 48.195045890637878,16.370080568631511 48.19505166321165,16.370082550049101 48.19505014886699,16.370084068579995 48.195049711531517,16.370091257073344 48.195053158469726,16.370089554304077 48.195056098200773,16.370101318971461 48.19506098443258,16.370103594699074 48.19505877851622,16.370112373706633 48.195061919952963,16.370111715116106 48.19506459485892,16.370124328483339 48.19506819562902,16.370125591633535 48.195065776003631,16.370135288862993 48.195068453484112,16.370134111511131 48.195070967138406,16.370147067624757 48.195073933491912,16.370148687392199 48.195070967961662,16.370151597936953 48.195071754793538,16.370152875851982 48.195071444744102,16.370158082817458 48.195073029592741,16.370157735148496 48.195075043349682,16.370170477605814 48.195076545579525,16.370172302081279 48.195073576321128,16.370171306059529 48.19507326671863,16.370172417300466 48.195071389270311,16.370178719845178 48.195073213628454,16.37017724370914 48.195075684928398,16.370192007069168 48.195080509715723,16.370200355135378 48.195066264731544,16.370201190746553 48.195066659191326,16.37020998939445 48.195051661747243,16.370180208075904 48.195041798308296,16.370179903363443 48.195040861596695,16.370159060733773 48.19503866022324))",http://finder.tuwien.ac.at/spatial/room/id/HHEG01A,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370047105096276 48.195019436916503,16.370059743632254 48.195023651749835,16.370069629581547 48.195008941749641,16.370058662156183 48.195005263202184,16.37006261581957 48.19500026138931,16.370070517547433 48.195002616519126,16.37007220387278 48.195000025311771,16.370074735428066 48.19500081221922,16.370083006979463 48.194988698938495,16.370081972253331 48.194988444664311,16.37008286245409 48.194987172101541,16.370075856967016 48.194984691400109,16.37007973322164 48.194979800242876,16.370084386692707 48.194980876247953,16.370092779726814 48.194968228166765,16.370090101520091 48.194967361993875,16.370091594323533 48.19496504742893,16.37008731402539 48.194963329623853,16.370072035763584 48.194957688016352,16.370060918666777 48.194953356703941,16.370061678883506 48.194952161615603,16.370045257948519 48.194946131138657,16.370044605678842 48.194947460820977,16.370033629752147 48.194943324948376,16.370034221280473 48.194942262663979,16.37001883238684 48.194936670865062,16.370018285155943 48.194937814278717,16.370013985393868 48.194935871503418,16.370007421534325 48.19494366571508,16.369997925992873 48.194940411003309,16.370019807389028 48.194914475777573,16.37001543581124 48.194912780117264,16.370016862280281 48.194910596489947,16.370005955484523 48.194906397903331,16.370003455808458 48.194908887852911,16.369998116174173 48.194907564879401,16.369993830727026 48.194912968767909,16.369993288865697 48.194913743372453,16.369995269723095 48.1949140896632,16.369993893144539 48.194916490877624,16.369991032378529 48.194915668996771,16.369989677948684 48.194918110775696,16.369986114352052 48.194916885187617,16.369979495232467 48.194924830624529,16.369983158274835 48.194925733485434,16.36998157698827 48.194928138427613,16.369983480436908 48.194928595376027,16.369982828055484 48.194929672425005,16.36998181547807 48.194929458715109,16.369981168689698 48.194930672222107,16.369974339269053 48.194938484927178,16.369972769168594 48.194941162784772,16.369962544501551 48.194953106808768,16.369960277722232 48.194956780584903,16.369940552808789 48.194979849726423,16.369943551836652 48.194980546184318,16.369941710805527 48.194983611341463,16.369953917665029 48.194987540436351,16.369954840753628 48.194985570819846,16.369960252427113 48.194987151942826,16.369961219813149 48.194985263455372,16.36996986878081 48.194988356055141,16.369965091251053 48.194994499491933,16.369992443815288 48.195004584702097,16.370016437379157 48.195013187962836,16.370043917242633 48.195023380098569,16.370047105096276 48.195019436916503))",http://finder.tuwien.ac.at/spatial/room/id/HHEG07,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369940480523077 48.19526672817404,16.369969960287289 48.195220252796567,16.369973509904224 48.195214889653791,16.369974173918724 48.195215096054888,16.370018052944715 48.19514456975029,16.370025539551769 48.195146543239929,16.370029166462793 48.195147064388877,16.370031290951616 48.19514691644855,16.370033468015702 48.19514680169052,16.370034718300708 48.195146567252387,16.370036106847575 48.195146207392739,16.370037960182245 48.195145941487496,16.370039525807094 48.19514565351038,16.370040579661929 48.195145374854036,16.370041907355699 48.195145029758606,16.370043129898928 48.195144618298585,16.370044506029043 48.195144330358708,16.370046486607084 48.19514404506608,16.370047735493831 48.195143776513575,16.370049009269945 48.195143490437843,16.370050454530993 48.195143139787199,16.370051631490281 48.195142865716718,16.370053628679862 48.195142610847398,16.370054870631165 48.195142298039407,16.370056199723198 48.195141987058335,16.37005741678513 48.195141691773571,16.370059612474343 48.195141469135841,16.370060924982774 48.195141190889629,16.370062056973438 48.195140881791318,16.370063403320266 48.195140491974357,16.370065026750275 48.195139552580542,16.370066631499277 48.195138594750048,16.370068259068191 48.195137631382948,16.370070521679924 48.195135480332489,16.370073972802416 48.195129463489721,16.370075798842294 48.195130031093655,16.370086556537039 48.195109849698454,16.370074056598156 48.195106267349331,16.370073675147395 48.19510695709377,16.370070770083959 48.195106054087098,16.370072837971804 48.195103025773406,16.370050881866316 48.195097649190984,16.37005057849478 48.195099744075847,16.370050418978156 48.195101849996554,16.370049678448847 48.19510377531585,16.370047664256628 48.195103115546793,16.370047845921967 48.195101050190566,16.370047518837307 48.195099567649713,16.37000214883972 48.195082736824951,16.370000733556783 48.195085193360178,16.369995100619629 48.195083711861699,16.37000154791906 48.195075073125246,16.370005476522529 48.195075957490928,16.370012190053519 48.195068816059205,16.370007674844313 48.195067614634269,16.370026121842724 48.195044855581827,16.370030216449823 48.195045791548473,16.37003703513134 48.195038716477271,16.370032663553548 48.195037020821054,16.370042926701462 48.195024516221203,16.370015291796971 48.195014040134112,16.369965146175137 48.194995152271225,16.369962491458057 48.194997358264821,16.36995477206014 48.195006948788844,16.369932962926661 48.195033647385607,16.369925464568926 48.195042633014836,16.369917579167396 48.195052171929966,16.369909959103484 48.19506118708447,16.369903578250206 48.195069947516672,16.36989594745301 48.195067205088833,16.369894814063354 48.19506904197285,16.369892971467809 48.195068570261427,16.369886695094596 48.195075881258674,16.369888515541422 48.195076312405561,16.369886547211049 48.195079270627865,16.369924063359868 48.195089416520993,16.369921221943116 48.195094814574389,16.369920285432073 48.195094582409872,16.369905486989083 48.195119890102305,16.369915960235204 48.195122695126862,16.369916333408128 48.195122053329186,16.369917379208619 48.195122327884917,16.369923314067563 48.19511218267845,16.369926108387421 48.195112882862851,16.369940384475697 48.195116815229191,16.369940732703387 48.195116064638242,16.369942594706991 48.195116635001305,16.369950749251291 48.195102666670643,16.369943843321696 48.195100115881857,16.369946812372923 48.195095582657025,16.369965575928642 48.195100539426875,16.369959624514028 48.195110780528765,16.369957687842316 48.195110262735327,16.369941743537055 48.195137352905007,16.369940777941849 48.19513703592078,16.369933966753038 48.195148542192037,16.369931974877151 48.195148301937031,16.369903435874644 48.195195238203041,16.369907165363163 48.195196262752276,16.369903919788218 48.195201046811007,16.369904525857912 48.195201588837456,16.369875469380585 48.195248145286023,16.369940480523077 48.19526672817404))",http://finder.tuwien.ac.at/spatial/room/id/HHEG08,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369824567232609 48.195291956999213,16.36981350271985 48.195268916178016,16.369813386494972 48.195268829531443,16.36980915317903 48.195267008461613,16.369810231532146 48.195265828070319,16.369808184228596 48.19526536008901,16.369808571272408 48.195264806803849,16.369793542574765 48.195260505790685,16.369793122419626 48.19526125086157,16.369791379381564 48.195260709059191,16.369789433199905 48.19526370783516,16.369783622173216 48.195272375919238,16.369782018737936 48.195274740280844,16.369787480078415 48.195276033716468,16.369787120776365 48.195276764022935,16.369788565253746 48.195277768735316,16.369789689803927 48.195280964217929,16.369789800994479 48.195282177567627,16.369791395590276 48.195284845565105,16.36978554306268 48.195293500745571,16.369761492224434 48.195286748948817,16.369763914044764 48.195283359146437,16.369750407121519 48.195279699558107,16.369748051747333 48.195283211053621,16.369739624713809 48.195281534642895,16.369738203837819 48.195283854711484,16.369731588296965 48.195293636743976,16.369730488018646 48.195295281834341,16.369769160376311 48.195305147165065,16.369771814422926 48.195301425393048,16.369788901386716 48.195305962033913,16.369787718106576 48.195307581323782,16.369806492848397 48.195312810987147,16.369807742351199 48.195310808126479,16.36981237367355 48.195311843560326,16.369813164316831 48.195310641098253,16.369815942081029 48.195311437172677,16.36982156501125 48.195302803246712,16.369818726393955 48.195302021936342,16.369820088038598 48.195300256010945,16.369824567232609 48.195291956999213))",http://finder.tuwien.ac.at/spatial/room/id/HAEG03B,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369620281388713 48.195308858951698,16.369632974849498 48.195312164644328,16.369639188799344 48.1953138267368,16.369642096997467 48.195309308295066,16.369643809553118 48.19530973116305,16.369647896780716 48.195303364772251,16.369646435971163 48.195302961217024,16.369649120332582 48.195298979430781,16.369657320509386 48.195300619004961,16.369667103769448 48.195285153052311,16.369683849780635 48.19528187107629,16.369690005673895 48.195283616162499,16.369702580225017 48.195287019613701,16.369723219375857 48.195292003656817,16.369723696273116 48.195291330953381,16.369731556416248 48.195293483695771,16.369738061325268 48.195283751473795,16.369730143097605 48.195281618565723,16.369731788033793 48.195279267104482,16.369661066572569 48.195260938436576,16.369650368616416 48.195272331114076,16.369642969480921 48.195280488712577,16.369640453025699 48.195282569272685,16.369636800384299 48.1952864184804,16.369633183650755 48.19529014413078,16.369629624973779 48.19529378678817,16.369626113279018 48.195297326170426,16.369622927998449 48.195300832295764,16.369622277854837 48.195300714405683,16.369616575111884 48.195307151187414,16.36961701668794 48.195307928358766,16.369620281388713 48.195308858951698))",http://finder.tuwien.ac.at/spatial/room/id/HAEG03,http://finder.tuwien.ac.at/vocab/spatial#Room,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.369795432099487 48.195254500333611,16.369811299331225 48.195228278779929,16.36980898669006 48.195228334555409,16.369807670070649 48.19522869993245,16.369799547079115 48.195226444434212,16.369803052622107 48.195221505428087,16.369782161557559 48.195216123116701,16.369779682015892 48.195220353813433,16.369778415175219 48.19522068414414,16.369770159403135 48.19521843789181,16.369769757929724 48.195217639504861,16.369763444422407 48.195216047502058,16.369763040152471 48.195215180886443,16.369729657762097 48.195206926183026,16.369729254162625 48.195207575361749,16.369722240621201 48.195205647882283,16.369721784446462 48.195206263878774,16.369713169037109 48.195203990036021,16.369713337502024 48.195203351967649,16.3697087614397 48.195202165310079,16.369708346765869 48.195202794206686,16.369699421497977 48.195200457727559,16.369699935729283 48.195199758738113,16.369692620718908 48.195197973308154,16.369687261397189 48.195195920108993,16.369689461953847 48.195192629921863,16.369667444995258 48.195187268113081,16.369665178215943 48.195190941872426,16.369659993399178 48.195189397591811,16.369659451537849 48.195190172192184,16.369652346716784 48.195188266858423,16.369652086972216 48.19518892707331,16.369643122999946 48.195186645922149,16.369643482301989 48.195185915614402,16.369623595872252 48.195181552852226,16.369621715466277 48.195183157530771,16.369603571168931 48.195202305846628,16.369601569280249 48.195204445317813,16.369627633751985 48.19521059373109,16.369628175613318 48.19520981913103,16.369637098084684 48.195212087381087,16.369636608015668 48.195212688631912,16.369643801319853 48.195214503589781,16.369643314718566 48.195215126968286,16.369647948837443 48.195216230632703,16.369645587981957 48.195219858307674,16.369670427002166 48.195226097317466,16.369672682818869 48.195222655910825,16.36967608589319 48.195223713716224,16.369676566901425 48.195222953880581,16.369683699464254 48.195225036234653,16.369684550960635 48.195223819006316,16.369693531488569 48.195226004262928,16.369693028331618 48.195226723534184,16.369698329261521 48.195228101828008,16.369698732860996 48.195227452649547,16.36970678940639 48.195229586454722,16.369706374732555 48.195230215350996,16.369713620612004 48.195232063490501,16.369713192067287 48.195232603875944,16.369747020228491 48.195241738090459,16.36974769475863 48.195240701612363,16.369754849358422 48.195242571897808,16.369755275106613 48.195241963283863,16.369763414653814 48.195244122888546,16.369763818923747 48.195244989503678,16.369784347666243 48.195250528625877,16.369784607410807 48.195249868411786,16.36979376512847 48.195252378181863,16.369795432099487 48.195254500333611))",http://finder.tuwien.ac.at/spatial/passageway/id/HAEG12,http://finder.tuwien.ac.at/vocab/spatial#PassageWay,http://www.opengis.net/ont/sf#Polygon
"POLYGON ((16.370206494643973 48.195418727945558,16.370213566359567 48.1954083299429,16.370223037746776 48.195394501578875,16.370227704197706 48.195387397474427,16.370222707533291 48.195385945364045,16.370223868664713 48.195384285512446,16.370209559241619 48.195380039688729,16.370196782555535 48.195376202937268,16.370193162469672 48.195372349633622,16.370201035791151 48.195360516811107,16.370210379879104 48.195346581505611,16.370218087196974 48.195334697077001,16.37022193190468 48.195333534583817,16.370236241327774 48.195337780411386,16.370256369043844 48.19534353166555,16.370278512537041 48.1953097465627,16.370270923464233 48.19530752231158,16.370254901429622 48.195302727297481,16.370239690060934 48.195298217948107,16.370234197058867 48.195306648084127,16.370233461116911 48.19530643616546,16.370231426452133 48.19530952531354,16.370211140898537 48.195303421877064,16.37021856073007 48.195292020630632,16.37020464416732 48.195287863235471,16.370207170914696 48.195284034533486,16.370186824507996 48.19527794585818,16.370184076496958 48.195281874181703,16.370168007480132 48.195277182440108,16.370151810605339 48.195271120608865,16.370151075222104 48.195272171850547,16.370132654524511 48.195266833315657,16.370133329054653 48.195265796838072,16.370116557318948 48.195260954022629,16.370115982346288 48.195261920407575,16.370097412200721 48.195256434378535,16.370098048026481 48.195255453229265,16.370081384126088 48.19525049237366,16.370080715133128 48.195251538992643,16.370060926303875 48.195245808867895,16.370061008746969 48.195244571506876,16.37004579323937 48.195240086125615,16.37004430256199 48.195240953113256,16.36997052166825 48.195219829480635,16.369941927405716 48.195266916902483,16.369943299732149 48.195267410832862,16.369941840151778 48.195269786230618,16.36990612744713 48.195259156882749,16.369875757396784 48.19525042399038,16.369871311318509 48.19524915985906,16.369872502764736 48.195247239988703,16.369874461585166 48.195247798345093,16.369903316262732 48.195201566485586,16.369885019956111 48.195196014011088,16.369887883856805 48.195191414430205,16.369863819147692 48.195184574109156,16.369861016100096 48.195189158926425,16.369854591849194 48.19518736410086,16.369853203637557 48.195188481857755,16.369850547579563 48.195187656252969,16.369845167670626 48.19519534692779,16.369848399148264 48.195196216676152,16.369842544047621 48.195205308907774,16.369830645029406 48.195209390246099,16.369829306261281 48.195209715058908,16.369824436896103 48.19520836987234,16.369822797776447 48.195211363058917,16.36981683249094 48.195221515627836,16.36981848693414 48.195221895173226,16.369817884443197 48.195223189802,16.369816373854906 48.195222821292532,16.369812204744388 48.195228564426742,16.369811562878603 48.195228398590054,16.369791554278105 48.195260540295791,16.369792961169999 48.195261002870922,16.369793391057108 48.195260370283975,16.369793960995434 48.195260530602617,16.369808755789172 48.195264497892254,16.369808924365834 48.195264112456776,16.369810916409339 48.195264731659456,16.369813608936845 48.195260449291666,16.369816317570113 48.195261308077498,16.369812723655745 48.195266590086781,16.369815529049962 48.19526731055123,16.369815310694573 48.195267731033027,16.369815588331356 48.195267756618577,16.369815865479325 48.195267787045658,16.369816142054056 48.195267822305006,16.369816417971304 48.195267862385883,16.369816693147019 48.195267907276069,16.369816967497382 48.195267956961899,16.369817240938826 48.195268011428233,16.36981751338805 48.195268070658486,16.36981778476207 48.19526813463461,16.369818054978222 48.195268203337122,16.369818323954195 48.19526827674509,16.369818591608055 48.195268354836159,16.369818857858274 48.195268437586535,16.369819122623749 48.19526852497102,16.369819385823828 48.195268616962984,16.369819647378339 48.195268713534418,16.36981990720761 48.19526881465589,16.369820165232497 48.195268920296613,16.369820421374396 48.195269030424406,16.369820675555292 48.19526914500571,16.369820927697756 48.195269264005638,16.36982117772498 48.195269387387931,16.369821425560808 48.195269515115008,16.369821671129742 48.195269647147967,16.369821914356983 48.195269783446584,16.369822155168443 48.195269923969342,16.369822393490761 48.195270068673437,16.369822629251352 48.195270217514789,16.369822862378392 48.195270370448064,16.369823092800875 48.195270527426672,16.369823320448607 48.1952706884028,16.369823545252245 48.195270853327408,16.369823767143313 48.195271022150266,16.369823986054225 48.195271194819945,16.369824201918291 48.195271371283845,16.369824414669761 48.195271551488219,16.369824624243826 48.195271735378171,16.36982483057665 48.195271922897689,16.369825033605384 48.195272113989645,16.36982523326818 48.19527230859584,16.369825429504221 48.195272506656991,16.369825622253732 48.195272708112775,16.369825811457996 48.195272912901814,16.36982599705938 48.19527312096173,16.369826179001354 48.195273332229149,16.36982635722849 48.195273546639719,16.369826531686499 48.195273764128117,16.369826702322243 48.195273984628109,16.369826869083742 48.195274208072526,16.369827031920202 48.195274434393298,16.369827190782019 48.195274663521488,16.369827345620799 48.1952748953873,16.369827496389384 48.195275129920105,16.369827643041841 48.195275367048467,16.369827785533502 48.195275606700157,16.369827923820964 48.195275848802162,16.369828057862101 48.195276093280746,16.369828187616083 48.195276340061433,16.369828313043385 48.195276589069053,16.369828434105802 48.195276840227756,16.369828550766456 48.195277093461037,16.369828662989814 48.195277348691761,16.369828770741687 48.195277605842179,16.36982887398926 48.195277864833962,16.369828972701072 48.195278125588217,16.369829066847064 48.195278388025514,16.369829156398556 48.195278652065916,16.369829241328265 48.195278917628997,16.369829321610325 48.195279184633854,16.369829397220283 48.195279452999159,16.369829468135102 48.195279722643171,16.369829534333185 48.195279993483744,16.369829595794364 48.195280265438392,16.36982965249992 48.195280538424257,16.369829704432579 48.195280812358192,16.369829751576525 48.195281087156758,16.36982979391739 48.195281362736246,16.369829831442285 48.195281639012713,16.369829864139771 48.195281915902001,16.369829891999895 48.19528219331977,16.369829915014169 48.195282471181514,16.369829933175581 48.195282749402587,16.3698299464786 48.195283027898249,16.369829954919172 48.195283306583661,16.36982995849473 48.195283585373943,16.369829957204182 48.195283864184162,16.369829951047919 48.195284142929388,16.36982994002782 48.195284421524725,16.36982992414724 48.195284699885306,16.369829903411016 48.195284977926335,16.369829877825467 48.195285255563114,16.369829847398382 48.195285532711083,16.369829812139034 48.195285809285814,16.369829772058164 48.195286085203058,16.369829727167975 48.19528636037878,16.369829677482144 48.195286634729143,16.369829623015811 48.19528690817058,16.369829563785558 48.195287180619808,16.369829499809434 48.195287451993828,16.369829431106922 48.195287722209983,16.369829357698951 48.19528799118595,16.369829279607885 48.195288258839817,16.369829196857506 48.195288525090035,16.369829109473027 48.195288789855503,16.369829017481059 48.195289053055582,16.369828920909629 48.195289314610093,16.36982881978815 48.195289574439371,16.369828714147427 48.195289832464255,16.369828604019638 48.195290088606157,16.369828489438333 48.195290342787054,16.369828370438405 48.19529059492951,16.369828247056113 48.195290844956737,16.369828119329036 48.195291092792566,16.369827987296077 48.1952913383615,16.369827850997464 48.195291581588741,16.369827710474706 48.1952918224002,16.36982756577061 48.195292060722522,16.369827416929255 48.19529229648311,16.36982726399598 48.19529252961015,16.369827107017372 48.195292760032629,16.369826995818361 48.19529291818295,16.369821840081357 48.195300830081393,16.36982286373313 48.195301064071899,16.369821782806991 48.195302681497765,16.369816035429928 48.195311403039568,16.369815095450431 48.195312710640614,16.369825763756385 48.195315588916422,16.369844015318602 48.195320049721971,16.369862375051362 48.195325150383674,16.370206494643973 48.195418727945558))",http://finder.tuwien.ac.at/spatial/passageway/id/HAEGPARK,http://finder.tuwien.ac.at/vocab/spatial#PassageWay,http://www.opengis.net/ont/sf#Polygon
