WKT,id,type,form
"POINT (16.369915513758098 48.19495482201566)",http://finder.tuwien.ac.at/spatial/por/id/HEEG14-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369977371328023 48.194974782296136)",http://finder.tuwien.ac.at/spatial/por/id/HHEG07-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370019768668545 48.194991518873834)",http://finder.tuwien.ac.at/spatial/por/id/HHEG07-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369967273817629 48.195049357148243)",http://finder.tuwien.ac.at/spatial/por/id/HHEG08-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.36995078049274 48.195069344249923)",http://finder.tuwien.ac.at/spatial/por/id/HHEG08-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369929869111111 48.195101631138698)",http://finder.tuwien.ac.at/spatial/por/id/HHEG08-P3,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369995670915976 48.195100319561483)",http://finder.tuwien.ac.at/spatial/por/id/HHEG08-P4,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370064115017946 48.195113781451816)",http://finder.tuwien.ac.at/spatial/por/id/HHEG08-P5,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370092477885319 48.195035536338644)",http://finder.tuwien.ac.at/spatial/por/id/HHEG01A-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370127254157723 48.19505164798889)",http://finder.tuwien.ac.at/spatial/por/id/HHEG01A-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370170392015307 48.195058499413996)",http://finder.tuwien.ac.at/spatial/por/id/HHEG01A-P3,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370225127372386 48.195065677039608)",http://finder.tuwien.ac.at/spatial/por/id/HGEG08-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370346529683065 48.195110250162493)",http://finder.tuwien.ac.at/spatial/por/id/HGEG11-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370424077726785 48.19513463414502)",http://finder.tuwien.ac.at/spatial/por/id/HGEG05-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370382759142249 48.195199085495759)",http://finder.tuwien.ac.at/spatial/por/id/HGEG05-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.370332604492795 48.195184611675735)",http://finder.tuwien.ac.at/spatial/por/id/HGEG05-P3,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369835706826237 48.195031133213547)",http://finder.tuwien.ac.at/spatial/por/id/HEEG04-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369847664857108 48.195017479799695)",http://finder.tuwien.ac.at/spatial/por/id/HEEG04-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369665926893081 48.195206964761027)",http://finder.tuwien.ac.at/spatial/por/id/HAEG12-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369782829602268 48.195234931322851)",http://finder.tuwien.ac.at/spatial/por/id/HAEG12-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369813936679495 48.195246414359993)",http://finder.tuwien.ac.at/spatial/por/id/HAEGPARK-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369871020533985 48.195277761481812)",http://finder.tuwien.ac.at/spatial/por/id/HAEGPARK-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369807607548118 48.195290767980602)",http://finder.tuwien.ac.at/spatial/por/id/HAEG03B-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369780795248271 48.195299176210966)",http://finder.tuwien.ac.at/spatial/por/id/HAEG03B-P2,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369764657825669 48.195294718174665)",http://finder.tuwien.ac.at/spatial/por/id/HAEG03B-P3,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
"POINT (16.369699513129326 48.195278933409973)",http://finder.tuwien.ac.at/spatial/por/id/HAEG03-P1,http://finder.tuwien.ac.at/vocab/navigation#PoR,http://www.opengis.net/ont/sf#Point
